id,home_team_win
0,False
1,False
2,True
3,True
4,True
5,False
6,False
7,True
8,True
9,False
10,True
11,True
12,False
13,False
14,False
15,True
16,True
17,False
18,False
19,True
20,True
21,False
22,True
23,True
24,True
25,True
26,True
27,False
28,False
29,False
30,True
31,True
32,False
33,False
34,False
35,False
36,False
37,True
38,False
39,False
40,True
41,False
42,False
43,True
44,True
45,True
46,True
47,True
48,False
49,False
50,True
51,True
52,True
53,False
54,True
55,True
56,False
57,True
58,True
59,False
60,False
61,False
62,False
63,True
64,True
65,False
66,True
67,False
68,True
69,False
70,False
71,True
72,False
73,True
74,False
75,False
76,True
77,False
78,True
79,True
80,False
81,False
82,False
83,False
84,False
85,False
86,True
87,False
88,False
89,True
90,True
91,True
92,False
93,True
94,False
95,True
96,False
97,True
98,False
99,True
100,True
101,False
102,False
103,True
104,True
105,False
106,True
107,False
108,False
109,False
110,False
111,True
112,True
113,True
114,False
115,False
116,True
117,False
118,True
119,True
120,False
121,False
122,False
123,False
124,True
125,False
126,False
127,True
128,False
129,True
130,False
131,False
132,False
133,False
134,False
135,False
136,True
137,False
138,False
139,True
140,False
141,False
142,False
143,True
144,False
145,True
146,False
147,True
148,True
149,False
150,True
151,False
152,True
153,False
154,False
155,True
156,False
157,False
158,True
159,False
160,True
161,False
162,True
163,True
164,False
165,True
166,True
167,False
168,True
169,False
170,False
171,True
172,True
173,False
174,True
175,False
176,False
177,True
178,True
179,False
180,True
181,False
182,True
183,True
184,True
185,False
186,False
187,True
188,True
189,False
190,False
191,False
192,False
193,True
194,True
195,False
196,True
197,False
198,False
199,True
200,True
201,True
202,False
203,False
204,False
205,False
206,False
207,True
208,True
209,True
210,True
211,True
212,False
213,False
214,False
215,False
216,False
217,True
218,True
219,True
220,True
221,True
222,False
223,True
224,False
225,True
226,False
227,True
228,True
229,False
230,True
231,True
232,False
233,False
234,False
235,True
236,False
237,True
238,False
239,False
240,True
241,False
242,True
243,True
244,True
245,False
246,False
247,True
248,True
249,True
250,True
251,True
252,True
253,False
254,False
255,False
256,True
257,True
