id,is_night_game
0,False
1,True
2,True
3,False
4,False
5,True
6,True
7,False
8,True
9,False
10,False
11,False
12,True
13,True
14,True
15,True
16,True
17,True
18,False
19,True
20,True
21,True
22,False
23,True
24,True
25,True
26,True
27,True
28,True
29,False
30,True
31,True
32,False
33,False
34,False
35,False
36,True
37,True
38,False
39,False
40,False
41,True
42,True
43,True
44,True
45,True
46,False
47,False
48,True
49,True
50,True
51,True
52,False
53,True
54,True
55,False
56,True
57,False
58,True
59,False
60,True
61,True
62,True
63,True
64,True
65,True
66,True
67,True
68,False
69,False
70,False
71,True
72,True
73,False
74,True
75,True
76,True
77,True
78,True
79,False
80,True
81,True
82,True
83,False
84,True
85,False
86,True
87,True
88,True
89,False
90,True
91,True
92,True
93,True
94,True
95,False
96,False
97,False
98,True
99,True
100,False
101,False
102,True
103,False
104,True
105,False
106,True
107,False
108,True
109,False
110,True
111,False
112,True
113,True
114,True
115,True
116,True
117,True
118,True
119,True
120,True
121,False
122,True
123,False
124,True
125,True
126,True
127,True
128,True
129,True
130,True
131,True
132,True
133,True
134,False
135,True
136,True
137,True
138,True
139,False
140,False
141,True
142,True
143,True
144,True
145,True
146,True
147,True
148,True
149,True
150,True
151,True
152,True
153,True
154,False
155,True
156,True
157,True
158,True
159,True
160,True
161,True
162,False
163,True
164,True
165,True
166,True
167,False
168,True
169,True
170,True
171,False
172,True
173,True
174,True
175,True
176,True
177,True
178,False
179,True
180,True
181,True
182,True
183,True
184,False
185,True
186,True
187,True
188,True
189,False
190,True
191,False
192,True
193,True
194,True
195,True
196,False
197,True
198,False
199,True
200,False
201,True
202,False
203,True
204,True
205,True
206,False
207,True
208,False
209,False
210,True
211,True
212,True
213,True
214,False
215,True
216,True
217,True
218,True
219,True
220,True
221,False
222,False
223,True
224,True
225,True
226,True
227,True
228,True
229,True
230,True
231,True
232,True
233,True
234,True
235,True
236,True
237,True
238,True
239,True
240,True
241,True
242,True
243,True
244,True
245,False
246,False
247,True
248,False
249,True
250,False
251,True
252,False
253,True
254,False
255,True
256,False
257,True
258,False
259,False
260,False
261,True
262,True
263,True
264,True
265,True
266,False
267,True
268,True
269,True
270,True
271,True
272,False
273,False
274,True
275,True
276,False
277,True
278,False
279,True
280,True
281,False
282,True
283,False
284,True
285,True
286,False
287,True
288,False
289,True
290,False
291,True
292,True
293,True
294,True
295,False
296,True
297,False
298,True
299,True
300,True
301,True
302,True
303,True
304,True
305,True
306,True
307,True
308,True
309,False
310,False
311,True
312,False
313,True
314,True
315,True
316,True
317,True
318,True
319,False
320,True
321,False
322,False
323,True
324,True
325,True
326,False
327,False
328,True
329,True
330,True
331,True
332,True
333,False
334,True
335,False
336,True
337,True
338,False
339,True
340,False
341,True
342,True
343,False
344,True
345,True
346,True
347,True
348,False
349,True
350,True
351,False
352,True
353,False
354,True
355,True
356,True
357,True
358,True
359,False
360,True
361,True
362,True
363,True
364,True
365,True
366,False
367,False
368,True
369,True
370,True
371,False
372,True
373,True
374,False
375,False
376,True
377,True
378,False
379,True
380,True
381,True
382,True
383,True
384,False
385,True
386,True
387,True
388,True
389,True
390,True
391,True
392,True
393,True
394,True
395,True
396,True
397,True
398,True
399,True
400,True
401,True
402,False
403,True
404,True
405,True
406,True
407,True
408,False
409,True
410,False
411,True
412,True
413,True
414,True
415,False
416,False
417,True
418,True
419,False
420,True
421,True
422,True
423,True
424,True
425,True
426,True
427,True
428,True
429,True
430,True
431,False
432,True
433,False
434,False
435,True
436,True
437,True
438,True
439,True
440,True
441,False
442,True
443,True
444,True
445,False
446,True
447,True
448,False
449,True
450,True
451,True
452,True
453,True
454,False
455,False
456,True
457,False
458,True
459,True
460,False
461,False
462,False
463,True
464,True
465,True
466,True
467,True
468,True
469,False
470,True
471,True
472,True
473,True
474,True
475,True
476,True
477,True
478,True
479,True
480,True
481,True
482,True
483,False
484,True
485,True
486,True
487,True
488,False
489,True
490,True
491,True
492,True
493,True
494,False
495,False
496,True
497,False
498,True
499,True
500,True
501,True
502,True
503,True
504,True
505,True
506,True
507,False
508,True
509,False
510,True
511,True
512,True
513,True
514,True
515,False
516,True
517,True
518,False
519,False
520,True
521,True
522,False
523,True
524,True
525,False
526,True
527,True
528,True
529,True
530,False
531,True
532,True
533,True
534,True
535,True
536,True
537,True
538,True
539,True
540,True
541,True
